supplier,solar_farm,costs
a_1,b_1,8052
a_2,b_1,11845
a_3,b_1,6103
a_4,b_1,11099
a_5,b_1,5625
a_6,b_1,5823
a_7,b_1,8834
a_8,b_1,10627
a_9,b_1,2636
a_10,b_1,5958
a_11,b_1,6068
a_12,b_1,9050
a_13,b_1,2349
a_14,b_1,8532
a_15,b_1,6925
a_16,b_1,8773
a_17,b_1,6846
a_18,b_1,3415
a_19,b_1,1681
a_20,b_1,6665
a_21,b_1,10275
a_22,b_1,6878
a_23,b_1,4975
a_24,b_1,4292
a_25,b_1,4348
a_26,b_1,7704
a_27,b_1,5401
a_28,b_1,3893
a_29,b_1,2131
a_30,b_1,2785
a_31,b_1,11229
a_32,b_1,10434
a_33,b_1,1992
a_34,b_1,10477
a_35,b_1,2112
a_36,b_1,11760
a_37,b_1,5492
a_38,b_1,3993
a_39,b_1,11213
a_40,b_1,3134
a_41,b_1,8027
a_42,b_1,5013
a_43,b_1,2439
a_44,b_1,6317
a_45,b_1,6046
a_46,b_1,8019
a_47,b_1,10957
a_48,b_1,5894
a_49,b_1,1817
a_50,b_1,8788
a_51,b_1,11481
a_52,b_1,10951
a_53,b_1,3513
a_54,b_1,9932
a_55,b_1,3015
a_56,b_1,6840
a_57,b_1,7515
a_58,b_1,1042
a_59,b_1,10520
a_60,b_1,5011
a_61,b_1,5191
a_62,b_1,2772
a_63,b_1,11582
a_64,b_1,6867
a_65,b_1,10292
a_66,b_1,9519
a_67,b_1,1016
a_68,b_1,9046
a_69,b_1,9556
a_70,b_1,2475
a_71,b_1,5645
a_72,b_1,6773
a_73,b_1,1067
a_74,b_1,1783
a_75,b_1,6102
a_76,b_1,6234
a_77,b_1,1531
a_78,b_1,5116
a_79,b_1,2088
a_80,b_1,11132
a_81,b_1,3664
a_82,b_1,1220
a_83,b_1,1029
a_84,b_1,9517
a_85,b_1,3442
a_86,b_1,10960
a_87,b_1,8087
a_88,b_1,11581
a_89,b_1,9542
a_90,b_1,3073
a_91,b_1,3368
a_92,b_1,4286
a_93,b_1,3626
a_94,b_1,5472
a_95,b_1,8848
